Scenario,gf,mf,σ,PF biomass (mmolN m-3),Enviroment,Temperature (oC),Predation decrease (%),%foram,,min,max,,"Here we present the model output for the herbivorous non-spinose with σ = 0.5, 0.6, 0.8, 1.0"
other,40,80,0.5,8.59E-03,MESO,30,2.25E+00,2.25E+00,,,,,
other,50,80,0.5,1.19E-07,MESO,30,3.18E-05,DEAD,,,,,
other,50,90,0.5,6.44E-03,MESO,30,1.69E+00,1.69E+00,,,,,
,,,,,,,,,,,,,
other,10,0,0.5,1.00E-02,EUTRO,30,2.19E+00,2.19E+00,,,,,
other,20,0,0.5,8.33E-03,EUTRO,30,1.79E+00,1.79E+00,,,,,
other,30,0,0.5,2.46E-03,EUTRO,30,5.19E-01,5.19E-01,,,,,
other,40,20,0.5,1.52E-03,EUTRO,30,3.20E-01,3.20E-01,,,,,
other,40,30,0.5,6.78E-03,EUTRO,30,1.43E+00,1.43E+00,,,,,
other,40,30,0.5,9.54E-03,EUTRO,30,2.03E+00,2.03E+00,,,,,
other,50,50,0.5,6.86E-03,EUTRO,30,1.45E+00,1.45E+00,,,,,
other,50,45,0.5,4.56E-03,EUTRO,30,9.61E-01,9.61E-01,,,,,
other,45,45,0.5,8.34E-03,EUTRO,30,1.77E+00,1.77E+00,,,,,
other,45,50,0.5,9.73E-03,EUTRO,30,2.07E+00,2.07E+00,,,,,
